video,stereo,t,u,v,id
5010,False,27.8919094238281,0.5856962,0.5079247,30
5010,False,27.9028806152344,0.5869747,0.508139,30
5010,False,27.9148481445312,0.5882671,0.5083621,30
5010,False,27.9258181152344,0.5895323,0.5085519,30
5010,False,27.9367897949219,0.5907464,0.5088461,30
5010,False,27.9477600097656,0.5919062,0.5093818,30
5010,False,27.9587312011719,0.593062,0.5099747,30
5010,False,27.9697016601563,0.5941818,0.5106897,30
5010,False,27.9806726074219,0.5952104,0.5113577,30
5010,False,27.9916428222656,0.5962549,0.5119351,30
5010,False,28.0036108398437,0.5971668,0.5123827,30
5010,False,28.0145810546875,0.5980711,0.5128642,30
5010,False,28.0255524902344,0.598834,0.5132362,30
5010,False,28.0365229492188,0.5995798,0.5136738,30
5010,False,28.0474936523438,0.6001506,0.5140548,30
5010,False,28.0584645996094,0.6007123,0.514591,30
5010,False,28.0694348144531,0.6012158,0.515061,30
5010,False,28.0814025878906,0.6015548,0.5155482,30
5010,False,28.0923732910156,0.6019359,0.5158876,30
5010,False,28.1033444824219,0.6021473,0.5161142,30
5010,False,28.114314453125,0.6023456,0.5163223,30
5010,False,28.1262829589844,0.6024605,0.5164495,30
5010,False,28.1362556152344,0.6025501,0.5165741,30
5010,False,28.1482241210938,0.6026155,0.5166907,30
5010,False,28.1591955566406,0.6026264,0.5167942,30
5010,False,28.1701652832031,0.6026385,0.516897,30
5010,False,28.1811362304687,0.6025515,0.5169687,30
5010,False,28.1921076660156,0.6025141,0.5169415,30
5010,False,28.2030771484375,0.6024455,0.5168441,30
5010,False,28.2140476074219,0.6023644,0.5169049,30
5010,False,28.2250192871094,0.6022623,0.5169463,30
5010,False,28.2359892578125,0.602196,0.5171104,30
5010,False,28.2479577636719,0.6021313,0.5172912,30
5010,False,28.2589284667969,0.6020733,0.5176219,30
5010,False,28.2698986816406,0.6019915,0.5180038,30
5010,False,28.2808701171875,0.6019729,0.5185152,30
5010,False,28.2918405761719,0.6019352,0.5188728,30
5010,False,28.3028110351563,0.6018459,0.5193304,30
5010,False,28.31378125,0.6017555,0.5197181,30
5010,False,28.3257492675781,0.6016604,0.5200841,30
5010,False,28.3367204589844,0.6016049,0.520327,30
5010,False,28.3476909179688,0.6014963,0.5207221,30
5010,False,28.3586625976562,0.6014043,0.5209255,30
5010,False,28.3696325683594,0.6013014,0.5211614,30
5010,False,28.3806030273437,0.6011844,0.5213402,30
5010,False,28.3915732421875,0.6010798,0.5215214,30
5010,False,28.4035417480469,0.6009695,0.5216582,30
5010,False,28.4145124511719,0.6008471,0.5216347,30
5010,False,28.4254829101563,0.6007506,0.5216882,30
5010,False,28.4364536132813,0.6006503,0.5216902,30
5010,False,28.4474245605469,0.6005092,0.5216823,30
5010,False,28.4583955078125,0.6003863,0.5216327,30
5010,False,28.469365234375,0.6003258,0.5215821,30
5010,False,28.4813337402344,0.600217,0.5215606,30
5010,False,28.4913068847656,0.6001474,0.5215023,30
5010,False,28.5032749023438,0.6000484,0.5214223,30
5010,False,28.51424609375,0.5999974,0.5214813,30
5010,False,28.5252165527344,0.5998976,0.5214447,30
5010,False,28.5361870117187,0.5998764,0.5214695,30
5010,False,28.5471572265625,0.5998268,0.5214568,30
5010,False,28.5591271972656,0.5997562,0.5215081,30
5010,False,28.5690988769531,0.5997311,0.5216253,30
5010,False,28.5810676269531,0.5996795,0.5216852,30
5010,False,28.5920375976563,0.5995951,0.5217229,30
5010,False,28.6030090332031,0.5995488,0.5217566,30
5010,False,28.6139797363281,0.5994838,0.521811,30
5010,False,28.6249497070312,0.599422,0.5218331,30
5010,False,28.6359206542969,0.5993655,0.521913,30
5010,False,28.6468911132812,0.5992845,0.5220027,30
5010,False,28.658859375,0.5991806,0.5221889,30
5010,False,28.6698303222656,0.5991079,0.5222589,30
5010,False,28.6808005371094,0.5990146,0.5224133,30
5010,False,28.6917709960938,0.598873,0.5225227,30
5010,False,28.7027416992187,0.5987384,0.522629,30
5010,False,28.7137048339844,0.5986229,0.522676,30
5010,False,28.72467578125,0.5984615,0.5226587,30
5010,False,28.7356455078125,0.5983382,0.5227583,30
5010,False,28.7476145019531,0.5981712,0.5227588,30
5010,False,28.7585849609375,0.5979897,0.5227529,30
5010,False,28.7695556640625,0.5977981,0.5227731,30
5010,False,28.7805256347656,0.5976028,0.5228043,30
5010,False,28.7914968261719,0.5974226,0.5228795,30
5010,False,28.8034641113281,0.5972133,0.5230013,30
5010,False,28.8144348144531,0.5970355,0.5230198,30
5010,False,28.8254064941406,0.5968211,0.5231996,30
5010,False,28.8363764648437,0.5965935,0.5232467,30
5010,False,28.8473474121094,0.5963881,0.5233006,30
5010,False,28.8583176269531,0.5962158,0.5234072,30
5010,False,28.8692888183594,0.595987,0.5234199,30
5010,False,28.8802590332031,0.5958056,0.5234343,30
5010,False,28.8912302246094,0.5956026,0.5235337,30
5010,False,28.9031979980469,0.5953929,0.5236424,30
5010,False,28.9138093261719,0.5952172,0.5236729,30
5010,False,28.9247810058594,0.5950418,0.5238262,30
5010,False,28.9357509765625,0.5948758,0.5238466,30
5010,False,28.9477197265625,0.5946979,0.5238752,30
5010,False,28.9586896972656,0.5945463,0.5238757,30
5010,False,28.9696611328125,0.5943732,0.5239199,30
5010,False,28.980630859375,0.5942209,0.5240009,30
5010,False,28.9916018066406,0.5940956,0.5240708,30
5010,False,29.002572265625,0.5940136,0.5242232,30
5010,False,29.01354296875,0.5938914,0.524359,30
5010,False,29.0255114746094,0.5937859,0.5244729,30
5010,False,29.0354846191406,0.5936867,0.5246782,30
5010,False,29.0474521484375,0.5935335,0.5247666,30
5010,False,29.0584230957031,0.5934436,0.5248661,30
5010,False,29.0693933105469,0.5933508,0.5250351,30
5010,False,29.0803645019531,0.5932385,0.5251274,30
5010,False,29.0913361816406,0.5931689,0.525292,30
5010,False,29.1023056640625,0.5930504,0.525326,30
5010,False,29.1137861328125,0.5929264,0.525389,30
5010,False,29.1247561035156,0.5928052,0.5254367,30
5010,False,29.1357272949219,0.5926618,0.5254924,30
5010,False,29.1476948242188,0.5925374,0.5255478,30
5010,False,29.1586650390625,0.5923885,0.5255725,30
5010,False,29.1696362304688,0.592213,0.5255973,30
5010,False,29.1806069335938,0.5920652,0.525633,30
5010,False,29.1915776367188,0.5918876,0.5256513,30
5010,False,29.2025476074219,0.591702,0.5256466,30
5010,False,29.2140285644531,0.591516,0.5255682,30
5010,False,29.2249985351562,0.5913548,0.5254953,30
5010,False,29.2359697265625,0.5911356,0.5254055,30
5010,False,29.2469399414063,0.5909054,0.5253274,30
5010,False,29.25791015625,0.5907149,0.5252756,30
5010,False,29.2688815917969,0.5905345,0.5251402,30
